distance_km,mean_temp,std_temp,n_pixels
0,32.63826446280995,6.708873447779733,305
10,33.20282926829271,6.308169252034547,940
20,36.17642523364489,7.764138043433677,1564
30,38.33632460732988,8.183642336035884,2204
40,42.44735955056183,8.163004396717898,2812
50,44.53323335027965,8.90026515304776,3452
60,44.21103522645581,8.209539037439447,4084
70,43.22217419354841,7.8309585979754095,4708
80,41.37659715639813,8.560558187263695,5364
90,41.299596527068466,6.845775218767552,5964
100,41.407568555758715,6.747803551660965,6572
110,40.07219442165712,8.636678657689847,7244
120,39.90222560975613,7.421359556618479,7828
130,39.52208204755856,7.9636041372463735,8476
140,36.002523171987676,10.684826396506221,9144
150,34.9344895984519,10.389934647467483,9708
160,34.680255312643354,10.576734093906353,10380
170,34.07453625398589,10.414409013194346,11004
180,33.28923234916562,10.950349455502252,11604
190,32.36975700471116,10.960050284872283,12252
200,31.587125200840468,10.493570805270814,12884
210,32.45874633431088,10.019253034565443,13508
220,32.297698764280746,10.063439987643012,14196
230,32.06552050473189,10.225646362259234,14708
240,31.03844556855309,10.618631313392926,15388
250,31.159985071443838,11.384302408604196,16028
260,33.715436065573805,11.697004720559775,16644
270,35.525152878617476,12.119998153273201,17276
280,35.01419965942957,11.737791760600603,17912
290,35.874037802471726,11.705977002424438,18524
300,37.045090786819124,12.427808825253985,19204
310,37.931195872311726,13.337014548299303,19764
320,37.54331299456576,12.762715696250376,20420
330,36.52944547495854,12.37905157041141,21044
340,36.14953365430004,12.344183201650551,21636
350,35.546568648191275,11.83466817601406,20089
360,37.5378416912488,11.27007165922398,18798
370,38.506729006233975,11.346033504385192,18048
380,37.442837188000944,10.81081305231607,17582
