designation,discovery_date,h_mag,moid_au,q_au,Q_au,period_yr,i_deg,pha,orbit_class,a_au,e,tisserand_jupiter,long_period_flag,log_moid_au,log_q_au,log_Q_au,log_period_yr,log_i_deg,log_a_au,log_tisserand_jupiter,orbit_segment,ecc_segment,tisserand_class
419880 (2011 AH37),2011-01-07,19.7,0.035,0.84,4.26,4.06,9.65,Y,Apollo,2.55,0.6705882352941177,3.0634836126930853,False,0.034401426717332394,0.6097655716208942,1.6601310267496183,1.621366483299374,2.365559892155434,1.2669476034873244,1.735082717335787,Near-Jupiter,High-e,Transition
419624 (2010 SO16),2010-09-17,20.5,0.028,0.93,1.08,1.0,14.52,Y,Apollo,1.005,0.0746268656716418,6.022920815189627,False,0.027615167032973363,0.6575200029167942,0.7323678937132266,0.6931471805599453,2.7421295147550726,0.6956440607585325,2.1551093794310034,Inner (NEA),Low-e,Stable
414772 (2010 OC103),2010-07-28,19.0,0.333,0.39,2.0,1.31,23.11,N,Apollo,1.195,0.6736401673640167,5.003187196851016,False,0.2874320411965716,0.32930374714260036,1.0986122886681096,0.8372475245337022,3.1826266921930797,0.7861820465271346,2.0293449422779175,Inner (NEA),High-e,Stable
414746 (2010 EH20),2010-03-06,18.0,0.268,1.25,3.99,4.24,23.89,N,Amor,2.62,0.5229007633587787,3.091151663249065,False,0.23744085601503417,0.8109302162163288,1.6074359097634272,1.6563214983329508,3.2144661163795005,1.2864740258376797,1.7399510935001197,Near-Jupiter,Moderate-e,Transition
407324 (2010 OB101),2010-07-18,20.7,0.111,0.77,2.46,2.06,9.12,N,Apollo,1.615,0.523219814241486,4.157656640909456,False,0.10526051065749295,0.5709795465857378,1.2412685890696329,1.1184149159642893,2.3145136638593193,0.9612640975168862,1.9115508231618932,Inner (NEA),Moderate-e,Asteroidal
398188 (2010 LE15),2010-06-03,19.5,0.024,0.63,1.1,0.8,13.25,Y,Aten,0.865,0.2716763005780347,6.775693727982389,False,0.02371652661731604,0.48858001481867097,0.7419373447293773,0.5877866649021191,2.6567569067146595,0.6232610530957788,2.2387510550731835,Inner (NEA),Low-e,Stable
395207 (2010 HQ80),2010-04-25,19.6,0.007,0.8,2.34,1.96,27.85,Y,Apollo,1.5699999999999998,0.4904458598726114,4.158878772988206,False,0.006975613736425242,0.5877866649021191,1.205970806988609,1.085189268335969,3.3621099929541085,0.9439058989071283,1.911731500188675,Inner (NEA),Moderate-e,Asteroidal
386847 (2010 LR33),2010-06-06,18.0,0.029,0.91,2.48,2.2,5.84,Y,Apollo,1.695,0.463126843657817,4.07461625707025,False,0.02858745685191255,0.6471032420585385,1.247032293786383,1.1631508098056809,1.922787731634459,0.9913982043609604,1.899197233836812,Inner (NEA),Moderate-e,Asteroidal
381989 (2010 HR80),2010-04-28,19.9,0.104,0.68,2.02,1.56,26.71,N,Apollo,1.35,0.4962962962962962,4.642140036507464,False,0.09893994785490356,0.5187937934151676,1.1052568313867783,0.9400072584914712,3.321793358874887,0.8544153281560676,1.9807329039260333,Inner (NEA),Moderate-e,Asteroidal
369454 (2010 NZ1),2010-07-09,19.4,0.275,0.49,2.26,1.61,32.78,N,Apollo,1.375,0.6436363636363636,4.443575916130018,False,0.24294617861038947,0.3987761199573677,1.1817271953786161,0.959350221334602,3.5198689113796537,0.8649974374866045,1.952955138345335,Inner (NEA),High-e,Asteroidal
365449 (2010 NJ1),2010-07-03,20.3,0.155,0.44,1.49,0.95,11.23,N,Aten,0.965,0.5440414507772021,6.097669558408834,False,0.14410034397375687,0.36464311358790924,0.9122827104766162,0.6678293725756554,2.503891949699081,0.6754922453212245,2.1637347440560832,Inner (NEA),Moderate-e,Stable
365424 (2010 KX7),2010-05-16,21.9,0.034,0.82,1.16,0.98,21.49,Y,Aten,0.99,0.1717171717171717,6.052459700958688,False,0.033434776086237385,0.5988365010887039,0.7701082216960736,0.6830968447064438,3.1130707659712242,0.688134638736401,2.1585268100087593,Inner (NEA),Low-e,Stable
356394 (2010 QD2),2010-08-21,17.4,0.061,0.43,3.59,2.85,10.64,N,Apollo,2.01,0.7860696517412935,3.3424696679917663,False,0.05921185963184609,0.35767444427181594,1.5238800240724537,1.3480731482996928,2.454447442303292,1.1019400787607843,1.7831193838072872,Near-Jupiter,High-e,Transition
(2015 HF11),2015-04-17,19.2,0.225,1.22,2.93,2.99,34.89,N,Amor,2.075,0.4120481927710843,3.450259216087479,False,0.2029408439966903,0.7975071958841881,1.3686394258811698,1.3837912309017721,3.580458705159516,1.1233049012584813,1.8010779743164809,Near-Jupiter,Moderate-e,Transition
